reaction,FC,p,q,enrichment,changed
AMETt,-145.22779832536048,0.0,0.0,-1,1
AMY1e,117.48154339198727,5.227334381223139e-249,1.0496265587761053e-248,1,1
AMY2e,107.46343667266304,1.354199288211322e-23,1.7209773830598278e-23,1,1
AND19ONEc,-1.0,0.0,0.0,-1,1
AND19ONEt,-1.0,0.0,0.0,-1,1
ANDRSTANDRtr,26.694791652384733,0.033253124816560224,0.03409383587287055,1,1
ANDRSTRNtr,-26.694791652386996,0.033253124816560224,0.03409383587287055,-1,1
AOBUTDsm,439.8732196473198,0.0,0.0,1,1
APRGSTRNt1e,-225.068184211268,0.0,0.0,-1,1
APRGSTRNte,100.17161766980533,0.0,0.0,1,1
APRTO2,74.49784803000155,0.0,0.0,1,1
ARABR,-1.0,0.0,0.0,-1,1
ARAB_Lt,-1.0,0.0,0.0,-1,1
ARACHCOAtx,-2.5613532989373335,3.209982841805882e-05,3.440241167409702e-05,-1,1
ARACHCPT1,183.12915379213905,0.0,0.0,1,1
ARACHCPT2,183.12915379213908,0.0,0.0,1,1
ARACHCRNt,183.12915379213914,0.0,0.0,1,1
ARACHDCOAtx,-10.102210904279728,0.0,0.0,-1,1
ARACHDt2,325.7949092922033,0.0,0.0,1,1
ARACHDtr,103.36104132024919,5.6477448391534745e-261,1.1544580134759263e-260,1,1
ARACHFATPc,10.024529444781152,1.4811534595157654e-17,1.8191993004652802e-17,1,1
ARACHt,462.1346241616112,0.0,0.0,1,1
ARTFR208,492.249062405971,0.0,0.0,1,1
ASAH1,38.98736637342414,3.6831887568019337e-19,4.600947011384594e-19,1,1
ASNNm,193.21768703987127,0.0,0.0,1,1
ASNPHELAT2tc,-58.95691002082843,0.0,0.0,-1,1
ASNt4,560.5094298965766,1.083476044558057e-297,2.276201755033624e-297,1,1
ASNtN1,1.0,0.0,0.0,1,1
ASNtm,193.21768703987146,0.0,0.0,1,1
ASPNATm,193.217687039871,0.0,0.0,1,1
ATP1ter,9.562329806579234,5.577646320340156e-06,6.000395449309566e-06,1,1
ATP2ter,268.95209253083425,0.0,0.0,1,1
ATPtg,19.68459641950041,1.8518210519255763e-20,2.3324934048380386e-20,1,1
ATPtm,434.8265639178841,0.0,0.0,1,1
ATVLACThc,15.349465146068638,0.0,0.0,1,1
ATVLACitr,15.01212831754244,4.8878146754685455e-17,5.964657242336952e-17,1,1
ATVLACtdhc,-1.0,0.0,0.0,-1,1
A_MANASEly,6.6357415234423645,3.6930025171082004e-252,7.461573591061142e-252,1,1
B3GALTg,-0.2009154734801114,2.883581140542334e-192,5.259929935880836e-192,0,0
B3GNT39g,2.1855823353999937,0.0006029005665324465,0.0006303808409738425,1,1
B3GNT51g,-0.20091547348010502,2.883581140542334e-192,5.259929935880836e-192,0,0
BILDGLCURt,-1.0,0.0,0.0,-1,1
BILDGLCURte,5.2867342425723045,7.053692183224609e-30,9.302517391465208e-30,1,1
BILGLCURtr,115.81802631623025,7.969763456935227e-47,1.1484348230139532e-46,1,1
BILIRUBt2,-556.2870991970243,0.0,0.0,-1,1
BILIRUBtr,-105.76321198175054,7.969763456935227e-47,1.1484348230139532e-46,-1,1
B_MANNASEly,6.635741523442368,3.6930025171082004e-252,7.461573591061142e-252,1,1
C05769te,5.147428395436178,4.148242783943996e-30,5.473945010073687e-30,1,1
C05769te2,259.72811646617936,4.4050768771360105e-18,5.478603279285805e-18,1,1
C05769te3,243.86124355242998,4.955881909979731e-13,5.795472614605546e-13,1,1
C05770te,7.627128822639708,7.969763456935227e-47,1.1484348230139532e-46,1,1
C05770te3,39.2032002532387,5.7690608353924265e-27,7.469519473874686e-27,1,1
C05770te4,47.21818784263708,5.1075882678968885e-56,7.507658871452319e-56,1,1
C05957t,-490.1708482921445,0.0,0.0,-1,1
C05957td,490.17084829213286,0.0,0.0,1,1
C11695td,1.0,0.0,0.0,1,1
C14768td,-1.0,0.0,0.0,-1,1
C14STR,1.2593291455508577,2.0469594201199992e-24,2.6072040623065162e-24,1,1
C14STRr,4.140394346677544,6.763913130197589e-11,7.785527987166105e-11,1,1
C160CPT1,80.32748674962201,3.7741254417171835e-280,7.791853525581567e-280,1,1
C161CPT1,78.84497835875706,0.0,0.0,1,1
C161CPT2,1.0,0.0,0.0,1,1
C161CRNt,1.0,0.0,0.0,1,1
C180CPT1,-120.31983923543697,0.0,0.0,-1,1
C180CPT2,-183.12915379213925,0.0,0.0,-1,1
C180CRNt,-183.12915379214476,0.0,0.0,-1,1
C181CPT1,110.54492196486369,0.0,0.0,1,1
C181CPT2,-1.0,0.0,0.0,-1,1
C181CRNt,-1.0,0.0,0.0,-1,1
C204CPT1,15.157725819457607,0.0,0.0,1,1
C204CPT2,-0.21067704481172778,3.866163455650273e-91,6.240268093661528e-91,0,0
C204CRNt,-0.21067704481828886,3.866163455650273e-91,6.240268093661528e-91,0,0
C226COAtx,-27.14428357317426,1.3152720028193915e-21,1.6612807110138142e-21,-1,1
C3STDH1,0.33184646866322853,6.754654990327923e-20,8.479724424010343e-20,0,0
C3STDH1Pr,2.1228967515633954,4.955881909979731e-13,5.795472614605546e-13,1,1
C3STDH1r,1.5408501635982683,5.214702601499457e-07,5.715535525099067e-07,1,1
C3STKR2r,2.437183683082344,1.583096794215111e-16,1.9072747053912557e-16,1,1
C4CRNe,14.419109585058617,3.433746373578779e-33,4.5816909602804975e-33,1,1
C4STMO1r,0.2575621776822431,5.56751340341548e-38,7.672222657255191e-38,0,0
C4STMO2r,2.437183683082524,1.583096794215111e-16,1.9072747053912557e-16,1,1
C4tcx,14.419109585058617,3.433746373578779e-33,4.5816909602804975e-33,1,1
C4x,14.419109585058585,3.433746373578779e-33,4.5816909602804975e-33,1,1
C80CPT1,56.9113673045275,0.0,0.0,1,1
C8CRNe,55.5247858684711,0.0,0.0,1,1
CA24GSc,9.68544273069996,3.044463318719866e-194,5.824748270271959e-194,1,1
CA24Gte,9.8818466315069,2.4178548709800775e-19,3.0319980187718143e-19,1,1
CA2t,-171.90690989352711,0.0,0.0,-1,1
CA3Sabc,4.642844023679826,2.8565575057657556e-20,3.594039942157358e-20,1,1
CA3St,220.99768863961373,1.531798402842041e-254,3.1171273950307128e-254,1,1
CAATPS_1,8.607984826274397,0.0,0.0,1,1
CALAtr,-410.5652564795895,0.0,0.0,-1,1
CARN1619Zt_m,-1.0,0.0,0.0,-1,1
CARN1819Zt_m,-1.0,0.0,0.0,-1,1
CATr,369.8470041929128,0.0,0.0,1,1
CAt7r,-270.6170039844194,0.0,0.0,-1,1
CBPPer,27.177039934526658,0.0,0.0,1,1
CBPter,27.17703993452672,0.0,0.0,1,1
CDCA24GSc,37.01160212615225,1.5586361620357814e-46,2.241711668133793e-46,1,1
CDCA24Gte,37.011602126152226,1.5586361620357814e-46,2.241711668133793e-46,1,1
CDCA3GSc,7.420190664918286,8.797089063129894e-08,9.726479679828621e-08,1,1
CDCA3Gte,7.4201906649183,8.797089063129894e-08,9.726479679828621e-08,1,1
CE2176t,1.0,0.0,0.0,1,1
CE2510t,5.617215880452602,1.0845303448772275e-06,1.181846647416595e-06,1,1
CE2512te,-1.9846185692276868,1.6300754154993291e-28,2.1287528859108547e-28,-1,1
CE2537ATP,-1.0,0.0,0.0,-1,1
CE4843HYDc,11.633563955475875,4.0687670654048253e-07,4.461694836086122e-07,1,1
CE4843td,11.633563955475873,4.0687670654048253e-07,4.461694836086122e-07,1,1
CE5629t,-238.0731996119284,7.726636221692759e-146,1.338458494238311e-145,-1,1
CERT2rt,76.83288354571002,1.6656399989720174e-38,2.3022936321761727e-38,1,1
CHLSTD78I,0.6885229574919558,0.002393409648884169,0.002476279413492459,0,0
CHLSTI_1,1.2593291455508284,2.0469594201199992e-24,2.6072040623065162e-24,1,1
CHOLATEt2,253.42923029198573,0.0,0.0,1,1
CHOLESACATc_1,7.492283570842959,0.0,0.0,1,1
CHOLESTTDe,-314.4523686400693,0.0,0.0,-1,1
CHOLPtr,-1.0,0.0,0.0,-1,1
CHSTEROLtrc,-52.57490730682497,0.0,0.0,-1,1
CHTNASE,6.630678221052342,8.66144540069212e-23,1.098277080121262e-22,1,1
CITt2r,424.36227350629025,0.0,0.0,1,1
CITt4_4,-413.07790344101267,0.0,0.0,-1,1
CLOXAtex2,158.40678413119042,3.1690847643253713e-32,4.216163737424088e-32,1,1
CLPNDCOAtx,20.087347452453397,1.3878173223697225e-09,1.5587206424835014e-09,1,1
CO2t,-822.8800545134701,0.042792013924212634,0.043834309256602116,-1,1
CO2ter,-36.22343679212836,0.0,0.0,-1,1
CO2tm,-306.2680546552099,1.7628312247911467e-53,2.569569776316235e-53,-1,1
COAtp,546.1966227146834,0.0,0.0,1,1
COAtr,-188.6010685110717,5.56751340341548e-38,7.672222657255191e-38,-1,1
COPROSTabc,6.810386956800528,4.853305934225328e-25,6.244678626983411e-25,1,1
COPROSTt2,6.810386956800533,4.853305934225328e-25,6.244678626983411e-25,1,1
CORE5GTg,-1.0,0.0,0.0,-1,1
CRMte,-17.841850929429167,3.042740004182204e-08,3.3773521747301e-08,-1,1
CRNCARtm,-322.4673059737038,0.0,0.0,-1,1
CRNtp,14.419109585058639,3.433746373578779e-33,4.5816909602804975e-33,1,1
CSAPASEly,13.432342789637081,1.837273440992013e-114,3.0433610390174048e-114,1,1
CSDPASEly,3.4546255077284407,4.872295384883887e-05,5.180235402186941e-05,1,1
CSEPASEly,4.834562578122662,9.710257857878779e-29,1.2710083916566403e-28,1,1
CSNAT2m,-25.023547583795484,0.0,0.0,-1,1
CSNATm,-341.21385702136706,0.0,0.0,-1,1
CSNATr,20.734034340228792,7.709181203220028e-10,8.740664259866541e-10,1,1
CSPG_Atly,13.432342789637092,1.837273440992013e-114,3.0433610390174048e-114,1,1
CSPG_Dtly,3.4546255077284425,4.872295384883887e-05,5.180235402186941e-05,1,1
CSPG_Etly,4.834562578122668,9.710257857878779e-29,1.2710083916566403e-28,1,1
CSm,31.493680360652053,0.0,0.0,1,1
CYP2R1,-1.0,0.0,0.0,-1,1
CYSGLTH,-49.27026941666204,1.3711207048221754e-68,2.0856095918628e-68,-1,1
CYSGLUexR,-104.08813743349052,1.2295379067920271e-57,1.8262135947185698e-57,-1,1
CYSPHELAT2tc,-72.8661382707069,5.586512295364291e-156,9.819635776139555e-156,-1,1
CYSt4,136.0451245157957,2.3211878296314437e-10,2.6556259753617173e-10,1,1
CYTDK1,4.235452734593872,0.0012207544622917959,0.0012740502683201602,1,1
CYTDK2,10.442650589803447,0.005306868855560685,0.005470675974116349,1,1
Coqe,210.38180510248765,0.0,0.0,1,1
DADNK,8.000604475570116,4.0687670654048253e-07,4.461694836086122e-07,1,1
DATPtm_cho,247.12367041165493,0.0,0.0,1,1
DCA24GSc,9.645740377778138,0.0,0.0,1,1
DCA24Gte,10.215823740969775,3.318343646488803e-15,3.9621232498296904e-15,1,1
DCA3GSc,6.1250728375084185,6.763913130197589e-11,7.785527987166105e-11,1,1
DCA3Gte,6.125072837508411,6.763913130197589e-11,7.785527987166105e-11,1,1
DCA3Sabc,12.436161095772704,2.807532301000516e-60,4.205742648794308e-60,1,1
DCA3St,148.48332301619033,0.0,0.0,1,1
DCIm,0.0,1.0,1.0,0,0
DCK1m,1.0,0.0,0.0,1,1
DCMPDA,-122.09333998789566,0.0,0.0,-1,1
DCMPtm,1.0,0.0,0.0,1,1
DCMPtr,-131.47159453810815,0.0,0.0,-1,1
DCSPTN1CPT1,4.658773396382232,0.0,0.0,1,1
DCSPTN1CPT2,4.6587733963822675,0.0,0.0,1,1
DCSPTN1CRNt,4.658773396382301,0.0,0.0,1,1
DCSPTN1t,1.0,0.0,0.0,1,1
DCYTD,58.29242032953909,0.0,0.0,1,1
DCYTt,-456.011271203288,1.9298198612535558e-278,3.980582111631994e-278,-1,1
DCYTtm,1.0,0.0,0.0,1,1
DEDOLP1_L,0.32869536940357613,0.14836452078962484,0.15102457494990498,0,0
DEDOLP2_L,0.32869536940357325,0.14836452078962484,0.15102457494990498,0,0
DEDOLR_L,0.32869536940357913,0.14836452078962484,0.15102457494990498,0,0
