reaction,FC,p,q,enrichment,changed
ACtp,-339.16659890300537,1.5960079045723672e-272,3.366072124061129e-272,-1,1
ADA,208.73277955914983,6.914010091642317e-26,8.673870824149405e-26,1,1
ADADir,6.813577495399331,0.0,0.0,1,1
ADAe,209.7278475050737,6.926908895158878e-246,1.400106828941768e-245,1,1
ADEt,1.0,0.0,0.0,1,1
ADK1m,-63.22298293706053,1.5075361928992265e-258,3.1076762350461025e-258,-1,1
ADMDC,115.33927579311442,0.0,0.0,1,1
ADNK1,3.7755449160635566,2.478045227082155e-09,2.7788202497304555e-09,1,1
ADNK1m,17.22624461788479,2.6270185242115367e-139,4.672530219992772e-139,1,1
ADNK4,-1.0,0.0,0.0,-1,1
ADNt2,-348.6384404065987,0.0,0.0,-1,1
ADNtm,-63.22298293705955,1.5075361928992265e-258,3.1076762350461025e-258,-1,1
ADPT,14.409184796580085,0.0,0.0,1,1
ADRNCOAtx,17.606544499403814,5.7690608353924265e-27,7.31388712575862e-27,1,1
ADRNCPT1,8.596865943398372,0.0,0.0,1,1
ADRNCPT2,8.596865943398114,0.0,0.0,1,1
ADRNCRNt,8.596865943391123,0.0,0.0,1,1
ADRNt,-68.7332138495428,1.083476044558057e-297,2.348045900932086e-297,-1,1
ADSL2r,2.0721541016292493,9.803857095159588e-13,1.1373869797231408e-12,1,1
AGDC,287.0614818475566,6.694200298676395e-222,1.3157764928147746e-221,1,1
AGPOP,12.403149873445363,3.0940781182944927e-138,5.473400206161266e-138,1,1
AHCYSte,-1.0,0.0,0.0,-1,1
AHCi,-1.0,0.0,0.0,-1,1
AHEXASE2ly,4.867243610852389,6.103857836584651e-115,1.029490286998239e-114,1,1
AHEXASEly,3.053472026307862,1.1157313408241001e-33,1.4458256216698446e-33,1,1
AICARte,-2.07215410162737,9.803857095159588e-13,1.1373869797231408e-12,-1,1
AIRCr,2.072154101629044,9.803857095159588e-13,1.1373869797231408e-12,1,1
AKGt4_3,-521.331203684204,9.256398497811612e-84,1.4359688220262473e-83,-1,1
AKR1C1,336.1639652982706,4.6103971535538226e-175,8.644968204116535e-175,1,1
ALATA_L,-312.7854020546628,1.4773569429441138e-42,2.00554940142681e-42,-1,1
ALAt4,107.03811810418539,0.0,0.0,1,1
ALAtN1,1.0,0.0,0.0,1,1
ALCD19y,1.0,0.0,0.0,1,1
ALCD21_D,-1.0,0.0,0.0,-1,1
ALLTNti,737.6336655076965,1.5679195140192733e-26,1.9756997962407409e-26,1,1
ALOX52,351.14364461658687,0.0,0.0,1,1
ALR,190.4380421767001,0.0,0.0,1,1
ALR2,-1.0,0.0,0.0,-1,1
ALR3,-1.0,0.0,0.0,-1,1
AMETAMte,-22.450311676693467,8.247170039460093e-80,1.2613969189040169e-79,-1,1
AMETt,-118.96858217695092,0.0,0.0,-1,1
AMY1e,121.15049474087583,1.3591194647620518e-48,1.8981093137007358e-48,1,1
AMY2e,147.55327164644163,8.949959584179312e-121,1.5344709069193981e-120,1,1
AND19ONEc,-1.0,0.0,0.0,-1,1
AND19ONEt,-1.0,0.0,0.0,-1,1
ANDRSTANDRtr,23.786915384533998,0.0002883096840614359,0.0003043120717059189,1,1
ANDRSTRNtr,-23.786915384533675,0.0002883096840614359,0.0003043120717059189,-1,1
AOBUTDsm,309.68278304542554,0.0,0.0,1,1
APRGSTRNte,-336.1639652982683,4.6103971535538226e-175,8.644968204116535e-175,-1,1
APRTO2,44.95361457235349,0.0,0.0,1,1
ARABR,-1.0,0.0,0.0,-1,1
ARAB_Lt,-1.0,0.0,0.0,-1,1
ARACHCOAtx,-3.4016904872640907,9.435017633532794e-100,1.504591910532623e-99,-1,1
ARACHCPT1,15.942939205968504,0.0,0.0,1,1
ARACHCPT2,15.942939205968447,0.0,0.0,1,1
ARACHCRNt,15.942939205968441,0.0,0.0,1,1
ARACHDCOAtx,-9.114178946105064,1.475594015696813e-309,3.244032315819006e-309,-1,1
ARACHDt2,613.4535857893793,0.0,0.0,1,1
ARACHDtr,87.16376571787886,1.8563677968613695e-09,2.086813454402781e-09,1,1
ARACHFATPc,10.426182667849833,8.329499266785476e-31,1.0648693180282608e-30,1,1
ARTFR208,477.27911640966767,0.0,0.0,1,1
ASAH1,21.566220671601364,1.4521567744883152e-39,1.939041403968599e-39,1,1
ASNNm,117.06665089742124,0.0,0.0,1,1
ASNPHELAT2tc,268.66000041947194,7.44e-321,1.65e-320,1,1
ASNt4,624.4843708209081,0.0,0.0,1,1
ASNtm,117.06665089742154,0.0,0.0,1,1
ASPNATm,117.06665089742145,0.0,0.0,1,1
ASPt6,-1.0,0.0,0.0,-1,1
ATP1ter,7.859853192245523,1.9092886474554655e-07,2.1058466377445008e-07,1,1
ATP2ter,271.32526391033184,0.0,0.0,1,1
ATPtg,12.171492562272228,1.4578519998015312e-84,2.2677697774690485e-84,1,1
ATPtm,235.81110673472875,0.0,0.0,1,1
ATVLACThc,6.484599761262401,0.0,0.0,1,1
ATVLACitr,5.951041040644423,0.01960232095219542,0.02036998925906646,1,1
ATVLACtdhc,-1.0,0.0,0.0,-1,1
A_MANASEly,10.224427609043325,3.1690847643253713e-32,4.0651216594662714e-32,1,1
B3GALTg,0.6078144254147508,1.837273440992013e-114,2.9798564266835634e-114,0,0
B3GNT39g,5.969282550025696,0.06153429181321559,0.06359658239028894,0,0
B3GNT51g,0.6078144254147835,1.837273440992013e-114,2.9798564266835634e-114,0,0
BILDGLCURt,-1.0,0.0,0.0,-1,1
BILDGLCURte,6.431504830159512,4.312386962685144e-45,5.892734759788921e-45,1,1
BILGLCURtr,47.06173218386844,7.1128978872759734e-68,1.0601981044261118e-67,1,1
BILIRUBt2,-505.08860398352635,7.89195695786226e-174,1.4761840801509573e-173,-1,1
BILIRUBtr,-38.71411074409096,2.146349786144595e-70,3.216001452384744e-70,-1,1
BIOMASS_maintenance,0.6200940665103406,0.00967775474446886,0.010093526657622458,0,0
BIOMASS_maintenance_noTrTr,0.18027962202940045,0.28779764348473313,0.2937183463471203,0,0
B_MANNASEly,10.224427609043373,3.1690847643253713e-32,4.0651216594662714e-32,1,1
C05769te,12.803272896229789,1.3639763952989482e-80,2.0889893517263087e-80,1,1
C05769te2,351.0446407319227,0.0,0.0,1,1
C05769te3,328.96463610390487,0.0,0.0,1,1
C05770te,11.694592747228652,1.7219581232661912e-49,2.412221262918016e-49,1,1
C05770te3,26.937186014069354,2.231788601339735e-55,3.1771313713395354e-55,1,1
C05770te4,39.061160173655324,1.0946236062021009e-36,1.4355925685937897e-36,1,1
C05957t,-588.4478498103972,0.0,0.0,-1,1
C05957td,588.4478498103989,0.0,0.0,1,1
C11695td,1.0,0.0,0.0,1,1
C14768td,38.29616576690005,1.0768117192423136e-15,1.2738643563042819e-15,1,1
C14769td1,40.86878027081158,0.0,0.0,1,1
C14STR,3.6404396740657443,1.8563677968613695e-09,2.086813454402781e-09,1,1
C14STRr,4.895878752713372,8.329499266785476e-31,1.0648693180282608e-30,1,1
C160CPT1,-210.2622619329227,0.0,0.0,-1,1
C161CPT1,78.95764816118631,0.0,0.0,1,1
C161CPT2,1.0,0.0,0.0,1,1
C161CRNt,1.0,0.0,0.0,1,1
C180CPT1,-422.88093736523706,0.0,0.0,-1,1
C180CPT2,-15.942939205968438,0.0,0.0,-1,1
C180CRNt,-15.942939205954028,0.0,0.0,-1,1
C181CPT1,80.72942002490765,3.044463318719866e-194,5.867791632870552e-194,1,1
C181CPT2,-1.0,0.0,0.0,-1,1
C181CRNt,-1.0,0.0,0.0,-1,1
C204CPT1,18.652978324044888,0.0,0.0,1,1
C204CPT2,7.890446196085749,4.312386962685144e-45,5.892734759788921e-45,1,1
C204CRNt,7.890446196091805,4.312386962685144e-45,5.892734759788921e-45,1,1
C226COAtx,-23.764454965465493,5.194801845515002e-08,5.757424872008371e-08,-1,1
C3STDH1,2.9450333540627565,4.8878146754685455e-17,5.809371400739177e-17,1,1
C3STDH1Pr,3.0205552955835318,7.941083403595438e-93,1.2437578810572951e-92,1,1
C3STDH1r,1.4220257591125645,1.5839049278876935e-19,1.9124185425606966e-19,1,1
C3STKR2r,2.9059491220357554,5.997303182676252e-61,8.72821802478776e-61,1,1
C4CRNe,10.400480229418475,3.3470758389799365e-37,4.409946342120217e-37,1,1
C4STMO1r,0.4650619795114397,7.969763456935227e-47,1.0982488048747698e-46,0,0
C4STMO2r,2.9059491220355236,5.997303182676252e-61,8.72821802478776e-61,1,1
C4tcx,10.40048022941825,3.3470758389799365e-37,4.409946342120217e-37,1,1
C4x,10.400480229418235,3.3470758389799365e-37,4.409946342120217e-37,1,1
C80CPT1,23.046162715968393,0.0,0.0,1,1
C8CRNe,21.27815308188052,0.0,0.0,1,1
CA24GSc,7.333357075302901,4.081984225381012e-294,8.804431004082674e-294,1,1
CA24Gte,7.745490876844731,7.709567304002036e-09,8.615686869604625e-09,1,1
CA2t,-447.46951389323834,4.853305934225328e-25,6.048740656418459e-25,-1,1
CA3Sabc,4.14613789485557,3.318343646488803e-15,3.9174651843183905e-15,1,1
CA3St,167.16358654728666,0.0,0.0,1,1
CAATPS_1,9.414603853885547,0.0,0.0,1,1
CALAtr,-309.7240703883997,4.0660830919911046e-47,5.644039912362348e-47,-1,1
CARN1619Zt_m,-1.0,2.3731348927723294e-117,4.0353903318229924e-117,-1,1
CARN1819Zt_m,-1.0,0.0,0.0,-1,1
CATr,293.1041731301668,1.3924815513476377e-193,2.679294182272605e-193,1,1
CAt7r,-328.2723599265908,0.0,0.0,-1,1
CBPPer,54.57363994418988,0.0,0.0,1,1
CBPter,54.57363994419019,0.0,0.0,1,1
CDCA24GSc,6.711123520463756,1.9235329004551243e-12,2.215801150347599e-12,1,1
CDCA24Gte,6.711123520463793,1.9235329004551243e-12,2.215801150347599e-12,1,1
CDCA3GSc,5.160743566483303,2.214758736930358e-06,2.4009878563777085e-06,1,1
CDCA3Gte,5.160743566483304,2.214758736930358e-06,2.4009878563777085e-06,1,1
CDIPTr,0.4912413483677636,0.07761108123267829,0.0795993201676278,0,0
CE2176t,1.0,0.0,0.0,1,1
CE2510t,4.406756686214683,0.0010264669536591562,0.001076469479894391,1,1
CE2512te,-11.009646193474726,4.441088228134397e-06,4.794022391959647e-06,-1,1
CE2537ATP,-1.0,0.0,0.0,-1,1
CE4843HYDc,13.949239723135047,1.3746584738471068e-12,1.5891441931707688e-12,1,1
CE4843td,13.949239723134609,1.3746584738471068e-12,1.5891441931707688e-12,1,1
CE5629t,-402.49779550549727,1.0578366251525282e-266,2.2106073064084887e-266,-1,1
CERT2rt,23.92706727894367,1.3529081395435592e-72,2.033818428483796e-72,1,1
CHLSTD78I,0.3762545506629583,3.9587400002181794e-05,4.209620074789322e-05,0,0
CHLSTI_1,3.6404396740654454,1.8563677968613695e-09,2.086813454402781e-09,1,1
CHOLATEt2,469.25435867926086,4.312386962685144e-45,5.892734759788921e-45,1,1
CHOLESACATc_1,8.421655174240813,0.0,0.0,1,1
CHOLESTTDe,-153.45135657912382,0.0,0.0,-1,1
CHOLPtr,-1.0,0.0,0.0,-1,1
CHSTEROLtrc,-31.029691207184452,2.432149587982038e-292,5.240949348229472e-292,-1,1
CHTNASE,4.289801837844298,2.396619961945673e-168,4.453653707785037e-168,1,1
CITt2r,140.49021716808622,0.0,0.0,1,1
CITt4_4,-124.33676860236689,0.0,0.0,-1,1
CLOXAtex2,208.14444327393255,0.0,0.0,1,1
CLPNDCOAtx,17.239863799209253,2.928166742788413e-18,3.5058113887949415e-18,1,1
CLS_hs,-0.4912413483678074,0.07761108123267829,0.0795993201676278,0,0
CO2t,-797.7898962967788,3.65394511e-315,8.048554773e-315,-1,1
CO2ter,-65.1434291948976,0.0,0.0,-1,1
CO2tm,-141.75510446559653,0.0,0.0,-1,1
COAtp,-50.36555912282449,0.0,0.0,-1,1
COAtr,-146.72178211656302,0.0,0.0,-1,1
COPROSTabc,4.9164449546948354,2.798513019401821e-06,3.030947655564763e-06,1,1
COPROSTt2,4.916444954694838,2.798513019401821e-06,3.030947655564763e-06,1,1
CORE5GTg,-1.0,0.0,0.0,-1,1
CORE7GTg,-1.0,0.0,0.0,-1,1
CRMte,339.8314563200358,1.7628312247911467e-53,2.4924292781743475e-53,1,1
CRNCARtm,-263.61037977261924,0.0,0.0,-1,1
CRNtp,10.400480229418246,3.3470758389799365e-37,4.409946342120217e-37,1,1
CSAPASEly,9.539512135208955,7.847683261668956e-40,1.0528167667918025e-39,1,1
CSDPASEly,5.090967153046415,7.969763456935227e-47,1.0982488048747698e-46,1,1
